거래일,동,아파트,면적(㎡),층,금액(만원),평당가(만원)
2026.07.15,망포동,망포마을쌍용1차,84.9,4층,69000,2687.0
2026.07.15,영통동,벽산(1053-2),85.0,3층,61500,2392.4
2026.07.15,망포동,망포벽산이빌리지,84.9,13층,44500,1732.3
2026.07.15,망포동,영통아이파크캐슬2단지,84.7,3층,108500,4234.2
2026.07.15,망포동,망포벽산이빌리지,84.9,5층,44900,1747.9
2026.07.15,망포동,영통롯데캐슬엘클래스1단지,85.0,16층,110000,4277.9
2026.07.15,영통동,신나무실풍림,84.9,3층,84800,3301.1
2026.07.14,영통동,벽산(1053-2),85.0,14층,66000,2567.4
2026.07.14,망포동,동수원자이2차,84.9,23층,71200,2770.4
2026.07.14,영통동,태영,84.9,11층,76000,2958.2
2026.07.13,망포동,영통롯데캐슬엘클래스1단지,85.0,1층,85500,3324.9
2026.07.13,영통동,태영,84.9,17층,70000,2725.6
2026.07.13,망포동,힐스테이트영통,84.9,17층,126000,4905.5
2026.07.13,망포동,동수원자이1차,85.0,12층,60500,2353.2
2026.07.13,매교동,매교역푸르지오SKVIEW,85.0,1층,89500,3481.2
2026.07.13,매교동,매교역푸르지오SKVIEW,85.0,14층,103400,4021.9
2026.07.11,매교동,매교역푸르지오SKVIEW,85.0,6층,107500,4181.3
2026.07.10,망포동,영통롯데캐슬엘클래스1단지,85.0,8층,95000,3694.5
2026.07.10,망포동,망포벽산이빌리지,84.9,13층,50000,1946.4
2026.07.10,망포동,한양수자인,85.0,4층,88800,3453.4
2026.07.10,영통동,신나무실동보,84.9,16층,74000,2880.7
2026.07.10,망포동,망포마을쌍용1차,84.9,10층,75000,2920.7
2026.07.10,영통동,삼성,84.8,13층,67200,2617.8
2026.07.10,망포동,방죽마을영통뜨란채,84.7,17층,60000,2340.7
2026.07.10,매교동,건영캐스빌,82.6,13층,34200,1367.8
2026.07.10,매교동,매교역푸르지오SKVIEW,85.0,16층,105000,4084.1
2026.07.09,망포동,영통롯데캐슬엘클래스1단지,85.0,16층,94500,3675.1
2026.07.09,망포동,영통롯데캐슬엘클래스2단지,85.0,3층,83000,3227.7
2026.07.09,망포동,영통아이파크캐슬1단지,84.7,17층,117500,4585.4
2026.07.09,매교동,힐스테이트푸르지오수원,84.9,14층,93000,3619.9
2026.07.08,망포동,힐스테이트영통,84.9,11층,130000,5061.3
2026.07.08,영통동,신나무실풍림,84.9,6층,85000,3308.9
2026.07.08,매교동,힐스테이트푸르지오수원,84.9,13층,95000,3697.7
2026.07.08,매교동,매교역푸르지오SKVIEW,85.0,2층,88700,3450.1
2026.07.07,망포동,동수원자이1차,85.0,7층,60000,2333.8
2026.07.07,영통동,청명센트레빌,84.9,18층,64000,2490.0
2026.07.07,매교동,매교역푸르지오SKVIEW,85.0,18층,104000,4045.2
2026.07.06,영통동,영통e-편한세상,85.0,6층,61700,2399.6
2026.07.06,망포동,힐스테이트영통,84.5,7층,129700,5071.1
2026.07.06,매교동,매교역푸르지오SKVIEW,85.0,14층,98000,3811.8
2026.07.04,망포동,영통롯데캐슬엘클래스1단지,85.0,2층,90000,3500.1
2026.07.04,매교동,매교역푸르지오SKVIEW,85.0,16층,100500,3909.1
2026.07.03,영통동,영통e-편한세상,85.0,2층,60000,2333.5
2026.07.03,망포동,힐스테이트영통,84.9,25층,138000,5372.7
2026.07.03,영통동,태영,84.9,17층,70000,2725.6
2026.07.03,망포동,힐스테이트영통,84.9,25층,138000,5372.7
2026.07.03,망포동,힐스테이트영통,84.5,26층,129000,5043.7
2026.07.03,망포동,늘푸른벽산,84.9,10층,55400,2156.0
2026.07.02,망포동,망포벽산이빌리지,84.9,9층,44400,1728.4
2026.07.02,망포동,힐스테이트영통,84.9,7층,135000,5255.9
2026.07.02,망포동,영통아이파크캐슬1단지,84.7,8층,125000,4878.1
2026.07.02,영통동,신나무실극동,84.9,18층,89000,3464.6
2026.07.02,영통동,청명센트레빌,84.9,7층,63000,2451.1
2026.07.02,매교동,힐스테이트푸르지오수원,84.9,14층,93000,3619.9
2026.07.02,매교동,매교역푸르지오SKVIEW,85.0,1층,89500,3481.2
2026.07.01,영통동,영통에듀파크(321동~327동),85.0,19층,90000,3501.1
2026.07.01,망포동,동수원자이2차,84.9,8층,72500,2821.0
2026.07.01,망포동,힐스테이트영통,84.9,14층,140000,5450.6
2026.07.01,망포동,영통아이파크캐슬2단지,84.7,3층,102000,3980.5
2026.07.01,매교동,매교역푸르지오SKVIEW,85.0,14층,107000,4161.9
2026.06.30,망포동,힐스테이트영통,84.9,21층,124000,4827.7
2026.06.30,망포동,망포현대2아이파크,85.0,1층,59500,2313.6
2026.06.29,영통동,영통3풍림아이원,84.9,12층,63000,2453.1
2026.06.29,망포동,영통아이파크캐슬3단지,84.7,17층,103000,4017.6
2026.06.29,매교동,힐스테이트푸르지오수원,84.9,6층,91500,3561.5
2026.06.27,매교동,매교역푸르지오SKVIEW,85.0,2층,90000,3500.6
2026.06.26,영통동,벽산(1053-2),85.0,13층,61000,2372.9
2026.06.26,영통동,신나무실풍림,84.9,9층,86800,3379.0
2026.06.26,영통동,영통에듀파크(321동~327동),85.0,19층,88000,3423.3
2026.06.26,망포동,일신건영휴먼빌,84.3,4층,40400,1583.0
2026.06.26,매교동,매교역푸르지오SKVIEW,85.0,5층,104700,4072.4
2026.06.25,영통동,영통에듀파크(321동~327동),85.0,12층,89500,3481.6
2026.06.25,영통동,영통에듀파크(331동~337동),85.0,9층,90000,3501.1
2026.06.25,영통동,신나무실풍림,84.9,8층,85000,3308.9
2026.06.24,망포동,마젤란21(1101동),84.6,11층,53000,2070.3
2026.06.24,매교동,매교역푸르지오SKVIEW,85.0,7층,105000,4084.1
2026.06.22,망포동,삼정라츠,84.9,14층,48000,1869.6
2026.06.22,망포동,동수원자이1차,85.0,21층,65000,2528.3
2026.06.22,망포동,늘푸른벽산,84.9,4층,51700,2012.0
2026.06.22,망포동,영통롯데캐슬엘클래스2단지,84.9,2층,83900,3267.9
2026.06.22,매교동,매교역푸르지오SKVIEW,85.0,11층,105000,4084.1
2026.06.20,망포동,영통SKVIEW,84.6,4층,99500,3886.4
2026.06.20,망포동,영통아이파크캐슬1단지,84.7,18층,117500,4585.4
2026.06.20,망포동,영통아이파크캐슬2단지,84.7,15층,108000,4214.7
2026.06.20,망포동,영통아이파크캐슬2단지,84.7,5층,105000,4097.6
2026.06.20,망포동,방죽마을영통뜨란채,84.7,19층,57000,2224.7
2026.06.20,망포동,방죽마을영통뜨란채,84.7,20층,63300,2469.4
2026.06.20,영통동,풍림,84.8,12층,60000,2337.3
2026.06.20,망포동,쌍용스윗닷홈2차,84.9,3층,41500,1615.8
2026.06.20,망포동,영통아이파크캐슬1단지,84.7,20층,118500,4624.4
2026.06.20,영통동,영통에듀파크(331동~337동),85.0,17층,85400,3322.1
2026.06.20,망포동,힐스테이트영통,84.9,17층,127000,4944.5
2026.06.20,망포동,영통SKVIEW,84.7,25층,100000,3900.3
2026.06.20,매교동,힐스테이트푸르지오수원,84.9,4층,89700,3491.4
2026.06.20,매교동,매교역푸르지오SKVIEW,85.0,2층,92000,3578.4
2026.06.19,영통동,태영,84.9,15층,70000,2724.6
2026.06.19,망포동,영통SKVIEW,84.5,16층,104000,4069.5
2026.06.19,매교동,매교역푸르지오SKVIEW,85.0,18층,99000,3850.7
2026.06.18,영통동,청명센트레빌,84.9,8층,65000,2528.9
2026.06.18,망포동,영통SKVIEW,84.6,19층,95200,3718.4
2026.06.18,매교동,매교역푸르지오SKVIEW,85.0,9층,99000,3850.7
2026.06.17,망포동,영통롯데캐슬엘클래스1단지,85.0,10층,96500,3752.9
2026.06.17,망포동,동수원자이1차,85.0,9층,64000,2489.4
2026.06.17,망포동,영통아이파크캐슬2단지,84.7,3층,103000,4019.5
2026.06.17,영통동,신나무실동보,84.9,5층,72900,2837.9
2026.06.17,망포동,동수원자이1차,85.0,19층,63000,2450.5
2026.06.16,영통동,태영,84.9,15층,74000,2880.3
2026.06.16,망포동,영통롯데캐슬엘클래스2단지,85.0,8층,84200,3274.3
2026.06.16,영통동,벽산(1053-2),85.0,8층,59000,2295.1
2026.06.15,망포동,영통롯데캐슬엘클래스2단지,85.0,8층,84500,3286.2
2026.06.15,영통동,신나무실풍림,84.9,14층,85000,3308.9
2026.06.15,망포동,망포벽산이빌리지,84.9,9층,44200,1720.6
2026.06.15,망포동,일신건영휴먼빌,84.1,10층,42700,1678.8
2026.06.15,영통동,신나무실신명,84.9,13층,76000,2958.5
2026.06.15,망포동,망포벽산이빌리지,84.9,11층,43500,1693.4
2026.06.15,매교동,매교역푸르지오SKVIEW,85.0,15층,99000,3850.7
2026.06.14,매교동,매교역푸르지오SKVIEW,85.0,12층,101500,3948.0
2026.06.13,매교동,매교역푸르지오SKVIEW,85.0,5층,96900,3769.0
2026.06.12,망포동,방죽마을영통뜨란채,84.7,19층,56000,2185.6
2026.06.12,영통동,신나무실동보,84.9,3층,63000,2452.5
2026.06.12,영통동,영통3풍림아이원,84.9,1층,53500,2083.2
2026.06.12,매교동,매교역푸르지오SKVIEW,85.0,6층,93000,3617.3
2026.06.11,영통동,신나무실극동,84.9,2층,80000,3114.3
2026.06.11,망포동,방죽마을영통뜨란채,84.7,1층,51000,1990.5
2026.06.11,망포동,힐스테이트영통,84.9,17층,129000,5022.3
2026.06.11,망포동,영통롯데캐슬엘클래스1단지,85.0,9층,95000,3694.5
2026.06.11,영통동,영통e-편한세상,85.0,5층,57800,2247.9
2026.06.11,매교동,매교역푸르지오SKVIEW,85.0,17층,100000,3889.6
2026.06.11,매교동,힐스테이트푸르지오수원,84.9,1층,85000,3308.5
2026.06.10,망포동,늘푸른벽산,84.9,20층,52000,2023.7
2026.06.10,영통동,신나무실극동,84.9,7층,84900,3305.0
2026.06.10,망포동,망포마을쌍용1차,84.9,1층,62300,2426.1
2026.06.10,망포동,힐스테이트영통,84.9,23층,130000,5061.3
2026.06.09,망포동,엘지동수원자이,85.0,18층,60000,2333.4
2026.06.09,망포동,동수원자이2차,84.9,22층,68300,2657.6
2026.06.06,망포동,영통롯데캐슬엘클래스1단지,85.0,14층,92500,3597.3
2026.06.06,매교동,매교역푸르지오SKVIEW,85.0,12층,99000,3850.7
2026.06.05,망포동,힐스테이트영통,84.5,21층,130000,5082.8
2026.06.05,망포동,늘푸른벽산,84.9,8층,53000,2062.6
2026.06.05,망포동,동수원자이1차,85.0,7층,64250,2499.1
2026.06.05,망포동,늘푸른벽산,84.9,19층,57000,2218.3
2026.06.04,매교동,매교역푸르지오SKVIEW,85.0,10층,103000,4006.3
2026.06.03,영통동,풍림,84.8,1층,48000,1869.9
2026.06.03,영통동,태영,84.9,5층,71800,2794.7
2026.06.03,영통동,벽산(1053-2),85.0,8층,63000,2450.7
2026.06.03,매교동,매교역푸르지오SKVIEW,85.0,11층,104700,4072.4
2026.06.02,영통동,영통아이파크,85.0,22층,47200,1835.3
2026.06.02,망포동,삼정라츠,84.9,10층,48000,1869.6
2026.06.02,매교동,힐스테이트푸르지오수원,84.9,11층,89000,3464.2
2026.06.01,망포동,영통아이파크캐슬1단지,84.7,5층,118000,4604.9
2026.06.01,망포동,엘지동수원자이,85.0,19층,68000,2644.5
2026.05.30,망포동,영통아이파크캐슬2단지,84.7,14층,105000,4097.6
2026.05.30,망포동,삼정라츠,84.9,15층,46000,1791.7
2026.05.30,영통동,영통에듀파크(321동~327동),85.0,14층,86900,3380.5
2026.05.30,망포동,영통아이파크캐슬2단지,84.7,23층,107000,4175.6
2026.05.30,영통동,풍림,84.8,6층,59900,2333.4
2026.05.30,영통동,영통에듀파크(331동~337동),85.0,13층,87300,3396.0
2026.05.30,매교동,매교역푸르지오SKVIEW,85.0,9층,98000,3811.8
2026.05.29,망포동,동수원자이1차,85.0,5층,59000,2294.9
2026.05.29,망포동,영통아이파크캐슬1단지,84.7,3층,111000,4331.7
2026.05.29,망포동,영통아이파크캐슬3단지,84.7,9층,96500,3764.1
2026.05.29,망포동,영통아이파크캐슬1단지,84.7,9층,109250,4263.4
2026.05.29,매교동,건영캐스빌,82.6,8층,30000,1199.8
2026.05.29,매교동,매교역푸르지오SKVIEW,85.0,9층,100500,3909.1
2026.05.29,매교동,힐스테이트푸르지오수원,84.9,14층,95000,3697.7
2026.05.28,망포동,영통SKVIEW,84.6,15층,99000,3866.9
2026.05.28,망포동,영통아이파크캐슬1단지,84.7,9층,120000,4683.0
2026.05.27,망포동,영통아이파크캐슬2단지,84.7,1층,91800,3582.5
2026.05.27,영통동,벽산(1053-2),85.0,15층,59000,2295.1
2026.05.27,매교동,매교역푸르지오SKVIEW,85.0,15층,102000,3967.4
2026.05.27,매교동,매교역푸르지오SKVIEW,85.0,4층,96500,3753.5
2026.05.25,영통동,신나무실신명,84.9,18층,71750,2793.1
2026.05.23,영통동,신나무실동보,84.9,17층,73000,2841.8
2026.05.23,매교동,매교역푸르지오SKVIEW,85.0,13층,103000,4006.3
2026.05.22,영통동,풍림,84.8,10층,55000,2142.6
2026.05.22,영통동,신나무실동보,84.9,3층,72500,2822.3
